id,verdict,reason,better,batch,attribution_read
report12:6b2cdfed1e,deny,'54 of 66 wells negative' is a direct count from the same per-well residual file as the two confirmed neighbouring rows: 54 of 66 rows in 20_residual_perwell.csv have residual_wb<0. C2's unrelated N_summer=54 in a different water-balance table is a coincidental digit match,54 of 66 wells with residual_wb<0 [20_residual_perwell.csv],report10-16,C2 (Dune) · N_summer = 54 [16_water_bal_rec_table.csv]
report12:049e9ee8d8,confirm,"66, legitimate derived reference-well count (also matches the row count of 20_residual_perwell.csv)",,report10-16,66 well columns in reference (lake excluded) = 66 [01_wells_reference.csv]
report12:acdc6224c4,confirm,"sentence explicitly says 'summer', matching C5's own Slope_m_per_yr in 14_summer_trend_stats.csv, not the SD15b threshold-crossing slope in a different file",,report10-16,C5 · Slope_m_per_yr = -0.0359 [14_summer_trend_stats.csv]
report12:ce7a765cbe,deny,"the sentence's p=0.003 is the SAME summer-trend row's own p_value column (0.0030 exactly), not either unrelated tied candidate (a msl5/summer-min correlation p-value, or a clearfell mixed-model p-value)","C5 p_value = 0.0030 [14_summer_trend_stats.csv], same row as the -0.036 m/yr slope",report10-16,Check2_msl5raw_vs_summermin_spearman_p = 0.0027 [25_report_numbers.csv]
report12:9f70e08130,deny,"'3.3 times the summer decline rate of c1' is the ratio of C5's summer slope to C1's summer slope (0.0359/0.0109 = 3.29), both already established in 14_summer_trend_stats.csv; the tied coastal-gradient panel-fit parameters are an unrelated analysis",C5_slope / C1_slope = 0.0359/0.0109 ~= 3.29 [14_summer_trend_stats.csv],report10-16,full / exponential · c_mm_yr = 3.28 [25_01_panel_fit_parameters.csv]
report12:1a53abc9b8,confirm,"forest_free/linear_capped delta_ref_mm_yr=-26.19, matches the retained (linear-capped) model form named in the same sentence",,report10-16,forest_free / linear_capped · delta_ref_mm_yr = -26.1896 [25_01_panel_fit_parameters.csv]
report12:8a16070f3c,confirm,"150m reference distance, uniform across all panel-fit rows",,report10-16,c3_only · ref_distance_m = 150 [25_01_panel_fit_parameters.csv]
report12:6f5dd6e500,deny,"the retained model in this sentence is forest_free/linear_capped (named explicitly: 'the linear-capped form is retained on physical grounds', matching the confirmed -26.2 companion figure); its OWN delta_0_mm_yr=-31.35 matches -31.3 exactly, in the SAME row/file as the -26.2 figure. Both tied candid","forest_free / linear_capped delta_0_mm_yr = -31.35 [25_01_panel_fit_parameters.csv], same row as the confirmed -26.2 figure",report10-16,full_panel · delta_0_mm_yr = -31.3462 [25_11_matched_window_sensitivity.csv]
report12:a83a4dca19,confirm,C5 unexplained_mm_yr=-0.68,,report10-16,C5 (Coastal Forest) · unexplained_mm_yr = -0.679849 [25_03_cluster_partition.csv]
report12:08a1f65a3d,confirm,May PET-trend p-value=0.00164 rounds to 0.002; file and month context (monthly PET decomposition) both match despite a near-numeric tie with an unrelated correlation p-value,,report10-16,full_record / 5 · p_value = 0.00164144 [00_06_pet_monthly_trends.csv]
report12:e4a50acde6,deny,"June's PET monthly-trend slope (companion to the confirmed May/July trend figures in the same sentence) is slope_mm_per_yr=0.048 for month=6 in 00_06_pet_monthly_trends.csv; the attributed C1 et_flux_m_month is a water-balance ET flux in different units, an unrelated quantity",month=6 slope_mm_per_yr = 0.048 [00_06_pet_monthly_trends.csv],report10-16,C1 median of et_flux_m_month · et_flux_m_month = 0.0473313 [03_12_partition_vs_datum.csv]
report12:65e216a7a2,deny,"June's PET-trend p-value should be the same file/row as the slope (month=6, p_value=0.033); the attributed Forest p_value_intercept is an unrelated winter-transfer-function regression intercept p-value that happens to round to 0.030","month=6 p_value ~ 0.033 [00_06_pet_monthly_trends.csv], not 11_forecast_winter_transfer_functions.csv",report10-16,Forest · p_value_intercept = 0.0300708 [11_forecast_winter_transfer_functions.csv]
report12:ef976c259d,deny,"July's PET-trend slope should be month=7 in the same monthly-trends file (0.063); the attributed value is an unrelated spring-transfer-function p_value_intercept, not even the same kind of statistic (p-value vs slope)",month=7 slope_mm_per_yr = 0.063 [00_06_pet_monthly_trends.csv],report10-16,Forest · p_value_intercept = 0.0617949 [11_forecast_spring_transfer_functions.csv]
report12:e9e60ad787,deny,July's PET-trend p-value should be month=7 in the same monthly-trends file (p=0.010); both tied candidates are unrelated clearfell/validation p-values from different analyses,month=7 p_value ~ 0.010 [00_06_pet_monthly_trends.csv],report10-16,Forest / Climate Ctrl · Clearfell_p = 0.00637796 [10d_08_spring_mixed_model_results.csv]
report12:c618105137,deny,"'21 years of monitoring' is the network record span, not C2's per-cluster n_years in a spring-trend-stat table (which varies 19-21 by cluster and ties with C3 as well as C2)",,report10-16,C2 · n_years = 21 [14_spring_trend_stats.csv]
report12:45f9706ef0,confirm,"Headline_coastal_rate_at_ref is purpose-built for exactly this 'at the reference distance' headline figure, not an individual well's unrelated absolute climate trend",,report10-16,Headline_coastal_rate_at_ref · Value = -26.1896 [25_report_numbers.csv]
report12:d157ba09eb,confirm,Headline_reference_distance=150,,report10-16,Headline_reference_distance = 150 [25_report_numbers.csv]
report12:904d1e3f94,deny,"'an inland reach of about 900m' is the network headline decay length, not well ceh4's individual leave-one-out sensitivity value","c3_only_mam / linear_capped_cfix L_m ~= 900 [25_01_panel_fit_parameters.csv], or a Headline_reach_m style key in 25_report_numbers.csv",report10-16,ceh4 · C3 · L_loo_m = 899.803 [25_16_delta0_leave_one_out.csv]
report8:2bd30f3d1d,confirm,matches pipeline_steps_registered = 57 (manifest headline),,report8 part 1,pipeline_steps_registered = 57 [pipeline_manifest.json]
report8:b5cd00f6b9,confirm,matches pipeline_phases_total = 18,,report8 part 1,pipeline_phases_total = 18 [pipeline_manifest.json]
report8:7b959899fb,confirm,matches tier breakdown's analytical count,,report8 part 1,pipeline_steps_analytical = 43 [pipeline_manifest.json]
report8:35decb03a4,confirm,matches exec breakdown's default-pass count,,report8 part 1,pipeline_steps_default = 52 [pipeline_manifest.json]
report8:cb7d3ecfb5,confirm,"same 57 registered steps, matches 'not additive' sentence",,report8 part 1,pipeline_steps_registered = 57 [pipeline_manifest.json]
report8:1743eb99e4,confirm,cluster_k5=5 matches the stated 'k = 5' partition validation,,report8 part 1,distinct clusters in cluster_k5 (k = 5) · cluster_k5 = 5 [02_07_cluster_membership_k5.csv]
report8:a3715eae2e,confirm,88 = 66 reference + 22 extended per CLAUDE.md convention,,report8 part 1,66 reference + 22 extended well columns = 88 dipwells = 88 [01_wells_reference.csv]
report8:7ba28c57c9,confirm,66 reference wells,,report8 part 1,66 well columns in reference (lake excluded) = 66 [01_wells_reference.csv]
report8:36af8949dc,confirm,22 extended wells,,report8 part 1,22 well columns in extended (lake excluded) = 22 [01_wells_extended.csv]
report8:c57ca57af1,deny,"sentence states a QC depth threshold (4.0 m below standpipe top); both candidates are a well's climate-trend slope, wrong quantity","a config.py QC-depth threshold, not registered here",report8 part 1,d10 · C2 · bhat_m_per_cwb_2005_2013 = 3.96162 [36_absolute_climate_trend_per_well.csv]
report8:de2a4d1a6e,deny,value is a hindcast-level column max (unrelated file); sentence is the reference-network well count,01_wells_reference.csv (66 well columns),report8 part 1,max of per-column means = 66 [47_01_hindcast_level_monthly.csv]
report8:eabd6faf82,confirm,88 monitored dipwells,,report8 part 1,66 reference + 22 extended well columns = 88 dipwells = 88 [01_wells_reference.csv]
report8:2823184aa2,deny,attribution is a per-well SE in mm; sentence states a record-length range in months,"a months-of-record column for admitted wells, not registered",report8 part 1,
report8:c5b09a60db,confirm,88 = 66+22,,report8 part 1,66 reference + 22 extended well columns = 88 dipwells = 88 [01_wells_reference.csv]
report8:fcde58e412,confirm,n_wells=66 in the robustness table matches the reference network size,,report8 part 1,Pearson / complete / 5 · n_wells = 66 [31_method_robustness_ari.csv]
report8:b6be82775b,confirm,22 extended wells,,report8 part 1,22 well columns in extended (lake excluded) = 22 [01_wells_extended.csv]
report8:a9c6d02961,confirm,66 reference wells (figure 3a),,report8 part 1,min of n_wells · n_wells = 66 [31_method_robustness_ari.csv]
report8:1d93f928c2,confirm,22 extended-network wells (figure 3b),,report8 part 1,22 well columns in extended (lake excluded) = 22 [01_wells_extended.csv]
report8:aeab8c8575,confirm,66-well reference network caption,,report8 part 1,66 well columns in reference (lake excluded) = 66 [01_wells_reference.csv]
report8:8d01b366b0,confirm,22 extended-network wells,,report8 part 1,22 well columns in extended (lake excluded) = 22 [01_wells_extended.csv]
report8:fd08949fa2,deny,"sentence states the LiDAR DTM's 2 m ground resolution; neither candidate (an SD, a well's dry depth) is that","a LiDAR-resolution constant, not registered",report8 part 1,SLACK_MIN_FLOOR_M = 2 [config.py]
report8:29d1bb4920,deny,"Pre_mean_gap_m is a spring water-level shift metric, unrelated to the DEM-vs-DGPS elevation bias stated","a DEM/DGPS elevation-bias column, not registered",report8 part 1,mean of Pre_mean_gap_m · Pre_mean_gap_m = -0.0775 [09c_06_spring_means_shifts.csv]
report8:72ad807562,deny,"0.5 m is the stated discrepancy threshold, not ceh2's wet_m or an ANOVA p-value","a threshold value, not registered",report8 part 1,ceh2 · wet_m = -0.534167 [33_envelope_per_well.csv]
report8:208816c8b3,deny,"MAX5_m_bg is a per-well seasonal maximum, not the aggregate elevation-validation RMSE","the RMSE from the elevation-validation output, not registered",report8 part 1,nw2 · C3 · MAX5_m_bg = -0.102 [26_msl_5yr_per_well.csv]
report8:a310eca4e9,deny,"L_se is a drawdown panel-fit SE, unrelated to the 78-well elevation-validation count","the elevation-validation well count, not registered",report8 part 1,full_mam / linear_capped · L_se = 78 [25_01_panel_fit_parameters.csv]
report8:2cf9d3f53c,deny,"rho_lag1 is an autocorrelation coefficient, not the elevation mean bias","the elevation-validation mean-bias column, not registered",report8 part 1,t41d · C2 · rho_lag1 = -0.0718813 [26_metric_diagnostics_per_well.csv]
report8:fa3bf3def5,deny,"0.15 m is NRW's cited external DTM accuracy spec, not the FLOOD_NEAR_GROUND_M config constant","external NRW citation, no CSV needed",report8 part 1,FLOOD_NEAR_GROUND_M = 0.15 [config.py]
report8:ec769208e3,deny,wells_clean's 77+1 geometry count is coincidental; sentence is the DGPS-sourced elevation count among 99 wells,"a DGPS-coverage well count, not this file's geometry",report8 part 1,77 wells + 1 lake column in clean = measuring points = 78 [01_wells_clean.csv]
report8:0a5521973a,deny,panel-fit L_se is unrelated to the total well count resolved in Script 01,"the total measuring-point count from Script 01, not registered",report8 part 1,full / exponential · L_se = 99 [25_01_panel_fit_parameters.csv]
report8:a6cb1aa3be,confirm,ceh28 upstand matches,,report8 part 1,ceh28 · Upstand_m = -0.14 [01_locations.csv]
report8:7e4c254d92,confirm,ceh2 upstand matches,,report8 part 1,ceh2 · Upstand_m = 0.71 [01_locations.csv]
report8:6b2cf05f95,confirm,matches the 66 reference wells,,report8 part 1,Pearson · n_wells = 66 [31_method_robustness_ari.csv]
report8:c59807c238,deny,"1 is the Thornthwaite sum's lower bound (m=1), a formula index not a data value",,report8 part 1,
report8:a21598cb20,deny,"12 is the formula's upper summation bound (months in a year), not the BACI config constant",,report8 part 1,
report8:b0aa6100ff,deny,"5 is the formula's t_m/5 divisor, not a scrape re-detection extra-years value",,report8 part 1,
report8:3799e04619,deny,"0 is the 'clipped to zero' prose definition, not a data value",,report8 part 1,BACI_step_below_floor = 0 [09_scrape_report_numbers.csv]
report8:0d9e4ad7b3,deny,"10 is a PET-adjustment formula coefficient exponent, not scrape extra-years",,report8 part 1,
report8:8569add33b,deny,"same formula coefficient exponent, not data",,report8 part 1,
report8:b7fd9f24e9,deny,"2 is a formula coefficient digit (7.71e-5), not data",,report8 part 1,
report8:16bdcb8bfc,deny,"10 is a formula coefficient exponent, not data",,report8 part 1,
report8:4d0d0dd658,deny,"2 is the exponent in -0.43t^2, a formula constant not data",,report8 part 1,
report8:36d3386313,deny,"0 is the definitional 'PET = 0' rule, not the unrelated BACI clearfell metric",,report8 part 1,
report8:96f97daf3b,deny,"12 is the months-per-year formula constant (n/12), not the BACI config value",,report8 part 1,
report8:be79a6dd91,confirm,RAF_VALLEY_LAT_DEG=53.25 matches the stated site latitude,,report8 part 1,RAF_VALLEY_LAT_DEG · config.py · committed 53.25 · index proposed
report8:a765335b2a,deny,"a_PET_win_to_spr is a forecast transfer-function coefficient, unrelated to the median %-difference between PET formulas","the PET-formula-comparison median value, not registered",report8 part 1,Lake_Edge · a_PET_win_to_spr = -0.00149007 [11_forecast_spring_transfer_functions.csv]
report8:3113a8e494,deny,"delta_0_se is a drawdown-propagation SE parameter, unrelated to the Thornthwaite heat-index result","the heat-index calculation output, not registered",report8 part 1,forest_free / exponential · delta_0_se = 3.15 [25_01_panel_fit_parameters.csv]
report8:99df6fa997,deny,"100-200 mm yr-1 is the Stratford (2006) literature range, not a pipeline scrape-trend value","external citation, no CSV needed",report8 part 1,
report8:ded2d8756b,deny,"same Stratford (2006) literature figure, not a per-well climate-trend slope","external citation, no CSV needed",report8 part 1,
report8:15ceaf5dc1,deny,"1 is the Pearson-distance formula's constant (d=1-r), not the ARI value",,report8 part 1,
report8:338e688a4f,deny,"r=1 is an illustrative synchronized-slack example, not PEARSON_MCA_THRESH or an actual pearson_r",,report8 part 1,
report8:829fd9cfbb,deny,"d=0 is the formula's illustrative result, not a Kruskal p-value",,report8 part 1,
report8:99d7954e45,deny,"d=1 is the same illustrative result, not the p-value",,report8 part 1,
report8:c726223456,deny,"d=1 illustrative value, not the ARI figure",,report8 part 1,
report8:3fb7407beb,deny,"r=-1 is the illustrative opposing-slack example, not the forest-zone elevation correlation",,report8 part 1,
report8:c1232ea2cc,deny,"d=2 is the formula's illustrative maximum, a different quantity from SLACK_MIN_FLOOR_M",,report8 part 1,SLACK_MIN_FLOOR_M = 2 [config.py]
report8:48f6db59a5,deny,"5 is one of the listed candidate k values {4,5,6,7}, not RANWELL_IDW_MIN_DIST_M",,report8 part 1,RANWELL_IDW_MIN_DIST_M = 5 [config.py]
report8:b1c89737c7,deny,"6 is a candidate k value; CV_MIN_YEAR_OBS is a min-observations-per-year parameter, unrelated topic",,report8 part 1,CV_MIN_YEAR_OBS = 6 [pipeline_params.py]
report8:9cca8f4812,confirm,matches the 66-well reference network,,report8 part 1,66 well columns in reference (lake excluded) = 66 [01_wells_reference.csv]
report8:80a72ae3c3,deny,"WTF_C_BOOTSTRAP_N is the Water-Table-Fluctuation Method C Sy bootstrap count, a different procedure from the cluster-stability resampling described here","the cluster-stability bootstrap N, not registered",report8 part 1,WTF_C_BOOTSTRAP_N = 1000 [config.py]
report8:e4261345e4,deny,"1.0 is the illustrative 'well scoring perfect stability' definition, not cluster_stability_months_median or a canopy-fraction constant",,report8 part 1,cluster_stability_months_median = 0.9855 [02_report_numbers.csv]
report8:9929f2b3e6,confirm,k=5 matches the five-cluster partition,,report8 part 1,distinct clusters in cluster_k5 (k = 5) · cluster_k5 = 5 [02_07_cluster_membership_k5.csv]
report8:b915f43554,deny,sentence's 0.98 here is the Lake Edge (C1) cluster; attribution is C2 (Dune),"C1 median of stability_wells, not registered",report8 part 1,C2 median of stability_wells · stability_wells = 0.97531 [02_11_month_stability.csv]
report8:3a2d85b100,deny,sentence's 1.00 is the Main Forest (C4) cluster; attribution is C3 (Western Residual),"C4 median of stability_wells, not registered",report8 part 1,C3 median of stability_wells · stability_wells = 1 [02_11_month_stability.csv]
report8:4d4c9f9c9d,deny,sentence's 0.99 is the Coastal Forest (C5) cluster; attribution is C4 (Main Forest),"C5 median of stability_wells, not registered",report8 part 1,C4 median of stability_wells · stability_wells = 0.991566 [02_11_month_stability.csv]
report8:666ac432b1,confirm,0.98 matches the Dune (C2) cluster named in the sentence,,report8 part 1,C2 median of stability_wells · stability_wells = 0.97531 [02_11_month_stability.csv]
report8:78c3c0741c,confirm,0.98 matches the Dune (C2) cluster named in the sentence,,report8 part 1,C2 median of stability_wells · stability_wells = 0.97531 [02_11_month_stability.csv]
report8:eb0bc3f6ba,deny,"0.49 is claimed for C5; sentence is about Western Residual (C3); runner-up C3 is the wrong statistic (Sy, not stability)","C3 median of stability_wells, not currently a candidate",report8 part 1,C3 (Western Residual) · C3 · Sy_event_median_unclipped = 0.485836 [17_wtf_01_sy_estimates.csv]
report8:34db2e15c4,confirm,'the fifth cluster' references the k=5 partition size,,report8 part 1,distinct clusters in cluster_k5 (k = 5) · cluster_k5 = 5 [02_07_cluster_membership_k5.csv]
report8:f380cf9578,confirm,k=5 selection,,report8 part 1,distinct clusters in cluster_k5 (k = 5) · cluster_k5 = 5 [02_07_cluster_membership_k5.csv]
report8:c5b3303572,confirm,silhouette 'at k=5' references the partition size,,report8 part 1,distinct clusters in cluster_k5 (k = 5) · cluster_k5 = 5 [02_07_cluster_membership_k5.csv]
report8:687a274265,confirm,silhouette_k5=0.396089 rounds to the stated 0.40,,report8 part 1,silhouette_k5 = 0.396089 [02_report_numbers.csv]
report8:2f6b34efa5,deny,"9 is the upper bound of the k=4-to-9 sweep tested, not p2's DEM ground elevation","the k-sweep upper bound, not registered",report8 part 1,p2 · DEM_Ground_Elev = 9 [01_locations.csv]
report8:3318e794ac,confirm,ceh22's ground elevation matches the range's low end,,report8 part 1,ceh22 · DGPS_Ground_Elev = 3.231 [01_locations.csv]
report8:09e3b823ff,confirm,ceh3's ground elevation matches the range's high end,,report8 part 1,ceh3 · DEM_Ground_Elev = 4.372 [01_locations.csv]
report8:ca291480bd,confirm,'from k = 5 onward' references the partition size,,report8 part 1,distinct clusters in cluster_k5 (k = 5) · cluster_k5 = 5 [02_07_cluster_membership_k5.csv]
report8:86d8ea3c80,confirm,ceh6 dem matches the C1 range's low end,,report8 part 1,ceh6 · C1 · dem = 8.461 [07_coeff_maps_data.csv]
report8:4721cf5825,deny,"L7 is C2 (Dune); the sentence's range is for C1 wells; runner-up ceh27 (C1, dem=10.9) is correct",runner-up ceh27 . C1 . dem = 10.9 [07_coeff_maps_data.csv],report8 part 1,L7 · C2 · dem = 10.86 [07_coeff_maps_data.csv]
report8:b4b00b4c49,deny,"beta_1_mean is a recharge-coefficient statistic, not ceh11's ground elevation",ceh11's dem elevation (matched correctly at id 6c7c6e8e00 for the same sentence),report8 part 1,median of beta_1_mean · beta_1_mean = 3.50974 [07_coefficient_summary.csv]
report8:efddb03e90,deny,C3_beta2_mean is unrelated to a well-to-well distance in km,"a computed inter-well distance, not registered",report8 part 1,C3_beta2_mean = 1.68255 [07_report_numbers.csv]
report8:a27aa5f259,confirm,ceh6 dem matches the C1 range's low end (repeat mention),,report8 part 1,ceh6 · C1 · dem = 8.461 [07_coeff_maps_data.csv]
report8:7bd5b3968e,deny,"L7 is C2, not the C1 well the range describes; runner-up ceh27 (C1) is correct",runner-up ceh27 . C1 . dem = 10.9 [07_coeff_maps_data.csv],report8 part 1,L7 · C2 · dem = 10.86 [07_coeff_maps_data.csv]
report8:6c7c6e8e00,confirm,ceh11's own dem elevation matches the 3.5 m figure,,report8 part 1,ceh11 · dem = 3.534 [07_coeff_maps_data.csv]
report8:6284dc75cf,deny,"0.5 m is an illustrative example seasonal range, not l7's optimal_datum_secondary",,report8 part 1,l7 · optimal_datum_secondary = 0.5 [03_09_well_optimal_datums.csv]
report8:d6b119d61b,deny,"2.0 m is the same illustrative example, not CANOPY_CHANGE_GRID_M or a well's beta_1_at_max",,report8 part 1,CANOPY_CHANGE_GRID_M = 2 [config.py]
report8:3b2aac100d,deny,"2x is a stated amplitude-heterogeneity threshold, not a canopy aerial-image ratio_to_conifer","a threshold constant, not this canopy-index file",report8 part 1,
report8:f683ce02bd,deny,"1 is the formula's 1/n_k normalisation constant, not an epoch-series 'years' value",,report8 part 1,
report8:eafba19e18,confirm,REQUESTED_N_CLUSTERS=5 matches 'five identified clusters',,report8 part 1,
report8:99352e1558,deny,"1 is a formula summation index, not the ARI value",,report8 part 1,
report8:87e346f0e2,deny,"same formula index, repeated",,report8 part 1,
report8:47e828f9f6,deny,"same formula index, repeated",,report8 part 1,
report8:c197ffb1ab,confirm,matches the 66-well reference network,,report8 part 1,66 well columns in reference (lake excluded) = 66 [01_wells_reference.csv]
report8:1a70984c92,deny,"0.03 is the stated lowered delta-r threshold, not a canopy aerial ratio_to_conifer","a threshold constant, not this canopy file",report8 part 1,warren_control / 2026-03-31 / aerial31-3-2026.png · ratio_to_conifer = -0.032106 [41_01_canopy_index.csv]
report8:5494478b4e,deny,"0.10 is the stated raised delta-r threshold, not sigma_total_m or an r2","a threshold constant, not either candidate",report8 part 1,COMBINED_ALL / nan · sigma_total_m = 0.102779 [44_05_level_change.csv]
report8:69af307436,deny,"n_common is a window-overlap count from an unrelated analysis, not the classification-flag well count","the classification-flag well count, not registered",report8 part 1,2014 / 2015 · n_common = 46 [34_window_matrix.csv]
report8:9300c11bf9,confirm,matches the 66 reference wells,,report8 part 1,66 well columns in reference (lake excluded) = 66 [01_wells_reference.csv]
report8:2e2f39a027,confirm,matches the 66-well reference network,,report8 part 1,66 well columns in reference (lake excluded) = 66 [01_wells_reference.csv]
report8:466ae35e93,confirm,PEARSON_DELTA_THRESH=0.05 matches the stated affinity threshold,,report8 part 1,PEARSON_DELTA_THRESH = 0.05 [config.py]
report8:9b9dde5de4,deny,"1 is the formula's t-1 subscript, not a canopy ratio",,report8 part 1,
report8:ceee14bf78,deny,"same formula (t-1 subscript), repeated in section 3.4.2",,report8 part 1,
report8:b18b48d745,deny,"2 is the beta_2 subscript, not benchmark_wells_SSM_worse",,report8 part 1,
report8:5cfa6c83e1,deny,"1 is the t-1 subscript in the prose description, not a canopy ratio",,report8 part 1,
report8:f01eb6beea,deny,"1 is the t-1 subscript, not the BACI clearfell metric",,report8 part 1,
report8:e58801b2c2,deny,"0 is the z-nought (z0) subscript notation, not the BACI Value",,report8 part 1,
report8:d7a17a9240,deny,"1 is the t-1 subscript, not the BACI clearfell metric",,report8 part 1,
report8:effc7b29bc,deny,"0.5 m is the sweep range's lower bound (methodology parameter), not l7's own optimal_datum_primary","a datum-sweep-range constant, not registered",report8 part 1,l7 · optimal_datum_primary = 0.5 [03_09_well_optimal_datums.csv]
report8:cbe08b1e5c,deny,"8.0 m is the sweep range's upper bound, not either candidate's aggregate elevation stat","a datum-sweep-range constant, not registered",report8 part 1,
report8:990b0c6077,deny,"0.1 m is the sweep step size, not summer_P or beta_3_drainage","a datum-sweep-step constant, not registered",report8 part 1,mean of beta_3_drainage · beta_3_drainage = 0.0631299 [03_12_partition_vs_datum.csv]
report8:b396f4eed0,confirm,DRAINAGE_DATUM=3.7 matches the adopted network-wide datum,,report8 part 1,DRAINAGE_DATUM = 3.7 [config.py]
report8:835e4ea13e,confirm,"DRAINAGE_DATUM=3.7 matches, repeated mention",,report8 part 1,DRAINAGE_DATUM = 3.7 [config.py]
report8:2148935d4a,deny,"s_coast_fitted is an unrelated BACI coastal-scaling factor, not the datum-sweep empirical minimum","the datum-sensitivity empirical minimum, not registered",report8 part 1,FarField / Impact · s_coast_fitted = -1.50833 [10a_10_coastal_fixed1_sensitivity.csv]
report8:0d767d3400,deny,shift_mm is from an unrelated coastal-sensitivity file; the datum here is DRAINAGE_DATUM=3.7,DRAINAGE_DATUM = 3.7 [config.py],report8 part 1,median of shift_mm · shift_mm = 3.66164 [10a_10_coastal_fixed1_sensitivity.csv]
report8:f090f49a6c,deny,"this p-value is from BACI control-subset sensitivity, unrelated to C4's SSM beta_3 significance at the adopted datum","the C4 beta_3 p-value at z0=3.7m, not registered",report8 part 1,outside_only / free_trend · p = 0.00202792 [10a_12_control_subset_sensitivity.csv]
report8:ebdf24344e,deny,shift_mm is from an unrelated coastal-sensitivity file; the datum is DRAINAGE_DATUM=3.7,DRAINAGE_DATUM = 3.7 [config.py],report8 part 1,median of shift_mm · shift_mm = 3.66164 [10a_10_coastal_fixed1_sensitivity.csv]
report8:fe370b67b3,deny,"Spread_Climate_Impact_step_range is a BACI coastal/clearfell spread metric, not the datum-sensitivity r2 spread","the datum-sensitivity r2 spread, not registered",report8 part 1,Spread_Climate_Impact_step_range = 0.0909405 [10a_report_numbers.csv]
report8:0941e8cdb8,confirm,DRAINAGE_DATUM=3.7 matches the stated z0,,report8 part 1,DRAINAGE_DATUM = 3.7 [config.py]
report8:a9937cf862,confirm,ground-elevation topic and value (~10.9 m) match the stated network elevation spread,,report8 part 1,L7 · DEM_Ground_Elev = 10.86 [01_locations.csv]
report8:706b702965,deny,"0 is the illustrative fixed-elevation-base slope, not the forest scenario-parameter flag",,report8 part 1,
report8:d079267e5a,deny,"+1 is the illustrative surface-following-base slope, not peak_month",,report8 part 1,
report8:f0aa67f5f0,confirm,matches the 66 reference wells,,report8 part 1,66 well columns in reference (lake excluded) = 66 [01_wells_reference.csv]
report8:3432d165b3,deny,"p_ar_2011_2025 is a single well's AR parameter, unrelated to the network-wide datum-vs-elevation regression slope","the regression slope from the datum-vs-elevation test, not registered",report8 part 1,t41a · C2 · p_ar_2011_2025 = 0.864157 [32_differential_movement_per_well.csv]
report8:0fc336a430,confirm,C3 min beta_1_recharge (~2.3) matches the Western Residual range's low end,,report8 part 1,C3 min of beta_1_recharge · beta_1_recharge = 2.2962 [03_08_datum_sensitivity.csv]
report8:05af2c19e8,deny,ceh6 is C1 (Lake Edge); the range is stated for C3 (Western Residual),"a C3 well's beta_1_recharge (~4.8), not this C1 well",report8 part 1,ceh6 · C1 · beta_1_recharge = 4.81748 [03_15_per_well_window_sensitivity.csv]
report8:bb1057a707,deny,"t_half_A_months is for C3, but the sentence's 17-82 month range is the forest interior (C4/C5)","a C4/C5 t_half_A_months value, not this C3 one",report8 part 1,
report8:662145eb96,deny,"p=0 in the sentence means rainfall P=0 (a hypothetical condition), not a BACI control-subset p-value",,report8 part 1,
report8:01c874d715,deny,"PET=0 is the same hypothetical condition, not the Kruskal p-value",,report8 part 1,
report8:14f5170d5b,deny,the formula's 100 is a percentage-conversion constant (LCSC=100/beta1); a different role from LCSC_DATA_LIMIT's 100-month window used elsewhere in this doc,,report8 part 1,LCSC_DATA_LIMIT = 100 [config.py]
report8:9a17477d3a,confirm,LCSC_DATA_LIMIT=100 matches the stated 100-month fitting window,,report8 part 1,LCSC_DATA_LIMIT = 100 [config.py]
report8:e635fad4b8,deny,"2 is the beta_2 subscript in the TLM formula, not benchmark_wells_SSM_worse",,report8 part 1,
report8:9b8e710535,deny,"c=0 is the stated 'fitted through the origin' constraint, not the ranwell metric",,report8 part 1,
report8:12b2788ca4,deny,"1 is a formula subscript, not a canopy ratio",,report8 part 1,
report8:c7712c1076,deny,"3 is the beta_3 subscript, not a ranwell monthly-range month value",,report8 part 1,
report8:d12ff449e5,deny,"1 is the t-1 subscript, not a canopy ratio",,report8 part 1,
report8:b1f9f9e9c9,deny,"'1)' is a list-item marker, not the ARI value",,report8 part 1,
report8:dd69550a26,deny,"2 is the exponent in r-squared notation, not ENVELOPE_METRIC_REF_MIN_WET",,report8 part 1,ENVELOPE_METRIC_REF_MIN_WET = 2 [config.py]
report8:11ab3cdaae,deny,"same r-squared exponent notation, repeated",,report8 part 1,ENVELOPE_METRIC_REF_MIN_WET = 2 [config.py]
report8:4496241e06,deny,same r-squared exponent notation in the formula itself,,report8 part 1,
report8:763d172ac1,deny,"2 is the squared-term exponent in the NSE formula, not the config value",,report8 part 1,
report8:bce88b9cac,confirm,window_months=100 matches the stated evaluation-window length,,report8 part 1,mean of window_months · window_months = 100 [03_14_centroid_window_sensitivity.csv]
report8:e95aba904b,deny,"NSE=1 is the illustrative 'perfect agreement' definition, not the ARI value",,report8 part 1,
report8:e955dffd64,deny,"NSE=0 is the illustrative definition, not the ANOVA p-value",,report8 part 1,
report8:127f460f42,deny,"'2)' is a list-item marker, not benchmark_wells_SSM_worse",,report8 part 1,
report8:1cb2724f6b,deny,"2 is the exponent in r-squared notation, not the config value",,report8 part 1,
report8:d6aa05d7ba,deny,"same r-squared exponent, repeated",,report8 part 1,
report8:d8ae4ee07e,deny,"same r-squared exponent, repeated",,report8 part 1,
